Timestamp (ns),ECG Sample (microVolt)
1722956151025871800,517
,697
,1736
,2868
,3061
,2837
,2919
,3397
,3667
,3583
,3816
,4104
,4003
,4054
,4482
,4727
,4619
,4595
,4850
,5112
,5268
,5444
,5636
,5802
,5980
,6158
,6314
,6569
,6942
,7122
,7115
,7219
,7349
,7389
,7445
,7522
,7587
,7652
,7702
,7741
,7777
,7813
,7873
,7921
,7940
,7943
,7918
,7914
,7998
,8065
,8068
,8094
,8132
,8157
,8200
,8277
,8361
,8286
,8087
,8039
,8135
,8209
,8330
,8464
,8416
,8344
,8368
,8327
,8255
,8221
,8178
,8154
,8140
1722956151586690913,8053
,7971
,7926
,7825
,7721
,7697
,7702
,7692
,7553
,7334
,7351
,7502
,7457
,7394
,7519
,7654
,7940
,8484
,8236
,6846
,5995
,6370
,6759
,6771
,6831
,6865
,6757
,6678
,6639
,6553
,6473
,6454
,6413
,6339
,6288
,6238
,6168
,6122
,6069
,5975
,5896
,5872
,5860
,5795
,5749
,5781
,5824
,5795
,5733
,5668
,5586
,5617
,5708
,5668
,5612
,5605
,5523
,5379
,5252
,5148
,4999
,4802
,4621
,4463
,4333
,4246
,4191
,4138
,4080
,4015
,3960
,3919
,3902
1722956152147494766,3878
,3806
,3751
,3722
,3674
,3628
,3597
,3571
,3535
,3455
,3405
,3402
,3361
,3301
,3272
,3234
,3193
,3169
,3145
,3104
,3058
,3020
,2989
,2955
,2929
,2907
,2868
,2830
,2806
,2782
,2753
,2727
,2690
,2657
,2633
,2616
,2599
,2575
,2534
,2503
,2493
,2474
,2450
,2411
,2366
,2354
,2359
,2337
,2323
,2308
,2272
,2243
,2226
,2202
,2181
,2161
,2133
,2108
,2094
,2068
,2039
,2015
,1995
,1983
,1971
,1935
,1882
,1849
,1837
,1822
,1793
,1772
,1774
1722956152708298621,1762
,1724
,1692
,1666
,1647
,1635
,1618
,1608
,1613
,1601
,1565
,1546
,1507
,1462
,1450
,1440
,1406
,1382
,1370
,1356
,1339
,1325
,1320
,1339
,1442
,1712
,2169
,2611
,2390
,1190
,240
,514
,1029
,1113
,1187
,1269
,1204
,1163
,1192
,1199
,1199
,1204
,1178
,1156
,1149
,1142
,1147
,1166
,1168
,1163
,1173
,1180
,1173
,1168
,1175
,1190
,1197
,1212
,1216
,1195
,1204
,1255
,1291
,1308
,1327
,1332
,1293
,1243
,1199
,1135
,1019
,882
,740
1722956153269117734,613
,521
,464
,408
,353
,334
,348
,351
,334
,307
,298
,312
,317
,310
,317
,324
,327
,334
,339
,346
,355
,360
,363
,363
,355
,363
,372
,363
,353
,360
,360
,346
,339
,348
,355
,351
,346
,353
,363
,375
,384
,379
,377
,379
,375
,375
,382
,387
,394
,396
,387
,372
,353
,341
,348
,353
,348
,346
,341
,336
,339
,339
,336
